run_id,mode,ticker,label_horizon_days,label_threshold,precision,recall,f1,accuracy,buy_rate,positive_rate,lift,tp,fp,tn,fn,support,model_final_path,config_path,metrics_path,manifest_path,git_commit,start_time,end_time,status
20260214_192729__7d7df546,finetune,NVDA,20,0.1,0.5822485207100592,0.625158831003812,0.6029411764705882,0.5705765407554672,0.559973492379059,0.5215374420145792,1.116408,492,353,369,295,1509,runs\20260214_192729__7d7df546\models\finetuned\NVDA\final.zip,runs\20260214_192729__7d7df546\config.yaml,runs\20260214_192729__7d7df546\metrics.json,runs\20260214_192729__7d7df546\manifest.json,,2026-02-14T19:27:29.909964,2026-02-14T19:47:43.369299,READY
20260214_192729__7d7df546,finetune,GOOGL,20,0.1,0.27167630057803466,0.2865853658536585,0.27893175074183973,0.6779324055666004,0.2292909211398277,0.21736249171636846,1.249877,94,252,929,234,1509,runs\20260214_192729__7d7df546\models\finetuned\GOOGL\final.zip,runs\20260214_192729__7d7df546\config.yaml,runs\20260214_192729__7d7df546\metrics.json,runs\20260214_192729__7d7df546\manifest.json,,2026-02-14T19:27:29.909964,2026-02-14T19:47:43.369299,READY
20260214_192729__7d7df546,finetune,TSM,20,0.1,0.2802690582959641,0.2777777777777778,0.27901785714285715,0.5719019218025182,0.29555997349237906,0.2982107355864811,0.939836,125,321,738,325,1509,runs\20260214_192729__7d7df546\models\finetuned\TSM\final.zip,runs\20260214_192729__7d7df546\config.yaml,runs\20260214_192729__7d7df546\metrics.json,runs\20260214_192729__7d7df546\manifest.json,,2026-02-14T19:27:29.909964,2026-02-14T19:47:43.369299,READY
20260214_192729__7d7df546,base,ALL,20,0.1,0.434331093463653,0.45431309904153355,0.4440974391005621,0.6068036227081953,0.3616081290037552,0.3457035564391429,1.256369,711,926,2036,854,4527,runs\20260214_192729__7d7df546\models\base\final.zip,runs\20260214_192729__7d7df546\config.yaml,runs\20260214_192729__7d7df546\metrics.json,runs\20260214_192729__7d7df546\manifest.json,,2026-02-14T19:27:29.909964,2026-02-14T19:47:43.369299,READY
20260214_211942__285b9b99,finetune,NVDA,10,0.05,0.6618004866180048,0.5984598459845984,0.6285384170999422,0.5738899933730948,0.5447316103379721,0.6023856858846919,1.098632,544,278,322,365,1509,runs\20260214_211942__285b9b99\models\finetuned\NVDA\final.zip,runs\20260214_211942__285b9b99\config.yaml,runs\20260214_211942__285b9b99\metrics.json,runs\20260214_211942__285b9b99\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:19:42.711513,2026-02-14T21:37:18.559349,READY
20260214_211942__285b9b99,finetune,GOOGL,10,0.05,0.42857142857142855,0.3619744058500914,0.39246778989098113,0.5937707090788602,0.3061630218687873,0.36249171636845595,1.182293,198,264,698,349,1509,runs\20260214_211942__285b9b99\models\finetuned\GOOGL\final.zip,runs\20260214_211942__285b9b99\config.yaml,runs\20260214_211942__285b9b99\metrics.json,runs\20260214_211942__285b9b99\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:19:42.711513,2026-02-14T21:37:18.559349,READY
20260214_211942__285b9b99,finetune,TSM,10,0.05,0.398,0.33728813559322035,0.3651376146788991,0.5414181577203446,0.3313452617627568,0.390987408880053,1.017936,199,301,618,391,1509,runs\20260214_211942__285b9b99\models\finetuned\TSM\final.zip,runs\20260214_211942__285b9b99\config.yaml,runs\20260214_211942__285b9b99\metrics.json,runs\20260214_211942__285b9b99\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:19:42.711513,2026-02-14T21:37:18.559349,READY
20260214_211942__285b9b99,base,ALL,10,0.05,0.5274663677130045,0.45992179863147603,0.49138381201044384,0.5696929533907665,0.3940799646565054,0.45195493704440026,1.167077,941,843,1638,1105,4527,runs\20260214_211942__285b9b99\models\base\final.zip,runs\20260214_211942__285b9b99\config.yaml,runs\20260214_211942__285b9b99\metrics.json,runs\20260214_211942__285b9b99\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:19:42.711513,2026-02-14T21:37:18.559349,READY
20260214_213718__8c304a74,finetune,NVDA,10,0.1,0.3973941368078176,0.5136842105263157,0.44811753902663,0.6017229953611664,0.4068919814446653,0.314777998674619,1.262458,244,370,664,231,1509,runs\20260214_213718__8c304a74\models\finetuned\NVDA\final.zip,runs\20260214_213718__8c304a74\config.yaml,runs\20260214_213718__8c304a74\metrics.json,runs\20260214_213718__8c304a74\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:37:18.575312,2026-02-14T21:58:58.718767,READY
20260214_213718__8c304a74,finetune,GOOGL,10,0.1,0.15,0.3629032258064516,0.2122641509433962,0.7786613651424784,0.1988071570576541,0.08217362491716368,1.825403,45,255,1130,79,1509,runs\20260214_213718__8c304a74\models\finetuned\GOOGL\final.zip,runs\20260214_213718__8c304a74\config.yaml,runs\20260214_213718__8c304a74\metrics.json,runs\20260214_213718__8c304a74\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:37:18.575312,2026-02-14T21:58:58.718767,READY
20260214_213718__8c304a74,finetune,TSM,10,0.1,0.12680115273775217,0.21890547263681592,0.16058394160583941,0.6951623591782637,0.2299536116633532,0.13320079522862824,0.951955,44,303,1005,157,1509,runs\20260214_213718__8c304a74\models\finetuned\TSM\final.zip,runs\20260214_213718__8c304a74\config.yaml,runs\20260214_213718__8c304a74\metrics.json,runs\20260214_213718__8c304a74\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:37:18.575312,2026-02-14T21:58:58.718767,READY
20260214_213718__8c304a74,base,ALL,10,0.1,0.2640761300555115,0.41625,0.3231441048034935,0.6918489065606361,0.27855091672189086,0.17671747294013695,1.494341,333,928,2799,467,4527,runs\20260214_213718__8c304a74\models\base\final.zip,runs\20260214_213718__8c304a74\config.yaml,runs\20260214_213718__8c304a74\metrics.json,runs\20260214_213718__8c304a74\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:37:18.575312,2026-02-14T21:58:58.718767,READY
20260214_215858__73c35bd6,finetune,NVDA,10,0.15,0.2033195020746888,0.4666666666666667,0.28323699421965315,0.6713055003313453,0.3194168323392976,0.13916500994035785,1.460996,98,384,915,112,1509,runs\20260214_215858__73c35bd6\models\finetuned\NVDA\final.zip,runs\20260214_215858__73c35bd6\config.yaml,runs\20260214_215858__73c35bd6\metrics.json,runs\20260214_215858__73c35bd6\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:58:58.742600,2026-02-14T22:22:01.720957,READY
20260214_215858__73c35bd6,finetune,GOOGL,10,0.15,0.037209302325581395,0.32,0.06666666666666667,0.851557322730285,0.1424784625579854,0.01656726308813784,2.245953,8,207,1277,17,1509,runs\20260214_215858__73c35bd6\models\finetuned\GOOGL\final.zip,runs\20260214_215858__73c35bd6\config.yaml,runs\20260214_215858__73c35bd6\metrics.json,runs\20260214_215858__73c35bd6\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:58:58.742600,2026-02-14T22:22:01.720957,READY
20260214_215858__73c35bd6,finetune,TSM,10,0.15,0.058823529411764705,0.2,0.0909090909090909,0.8144466534128562,0.15772034459907222,0.04638833664678595,1.268067,14,224,1215,56,1509,runs\20260214_215858__73c35bd6\models\finetuned\TSM\final.zip,runs\20260214_215858__73c35bd6\config.yaml,runs\20260214_215858__73c35bd6\metrics.json,runs\20260214_215858__73c35bd6\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:58:58.742600,2026-02-14T22:22:01.720957,READY
20260214_215858__73c35bd6,base,ALL,10,0.15,0.12834224598930483,0.39344262295081966,0.1935483870967742,0.7791031588248288,0.20653854649878506,0.06737353655842722,1.904936,120,815,3407,185,4527,runs\20260214_215858__73c35bd6\models\base\final.zip,runs\20260214_215858__73c35bd6\config.yaml,runs\20260214_215858__73c35bd6\metrics.json,runs\20260214_215858__73c35bd6\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:58:58.742600,2026-02-14T22:22:01.720957,READY
20260214_222201__35266caa,finetune,NVDA,20,0.05,0.7831449126413155,0.6773333333333333,0.7264061010486178,0.6196156394963552,0.6447978793903247,0.7455268389662028,1.050458,762,211,173,363,1509,runs\20260214_222201__35266caa\models\finetuned\NVDA\final.zip,runs\20260214_222201__35266caa\config.yaml,runs\20260214_222201__35266caa\metrics.json,runs\20260214_222201__35266caa\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T22:22:01.743566,2026-02-14T22:44:59.044883,READY
20260214_222201__35266caa,finetune,GOOGL,20,0.05,0.6153846153846154,0.3429895712630359,0.44047619047619047,0.5016567263088137,0.31875414181577205,0.5719019218025182,1.076032,296,185,461,567,1509,runs\20260214_222201__35266caa\models\finetuned\GOOGL\final.zip,runs\20260214_222201__35266caa\config.yaml,runs\20260214_222201__35266caa\metrics.json,runs\20260214_222201__35266caa\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T22:22:01.743566,2026-02-14T22:44:59.044883,READY
20260214_222201__35266caa,finetune,TSM,20,0.05,0.5328947368421053,0.28689492325855964,0.3729854182655411,0.4585818422796554,0.30218687872763417,0.56129887342611,0.949396,243,213,449,604,1509,runs\20260214_222201__35266caa\models\finetuned\TSM\final.zip,runs\20260214_222201__35266caa\config.yaml,runs\20260214_222201__35266caa\metrics.json,runs\20260214_222201__35266caa\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T22:22:01.743566,2026-02-14T22:44:59.044883,READY
20260214_222201__35266caa,base,ALL,20,0.05,0.681151832460733,0.4589065255731922,0.5483667017913594,0.5266180693616082,0.421912966644577,0.6262425447316103,1.087681,1301,609,1083,1534,4527,runs\20260214_222201__35266caa\models\base\final.zip,runs\20260214_222201__35266caa\config.yaml,runs\20260214_222201__35266caa\metrics.json,runs\20260214_222201__35266caa\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T22:22:01.743566,2026-02-14T22:44:59.044883,READY
20260214_224459__7d7df546,finetune,NVDA,20,0.1,0.5769230769230769,0.6289707750952986,0.601823708206687,0.5659377070907886,0.5685884691848907,0.5215374420145792,1.106197,495,363,359,292,1509,runs\20260214_224459__7d7df546\models\finetuned\NVDA\final.zip,runs\20260214_224459__7d7df546\config.yaml,runs\20260214_224459__7d7df546\metrics.json,runs\20260214_224459__7d7df546\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T22:44:59.064986,2026-02-14T23:07:35.513520,READY
20260214_224459__7d7df546,finetune,GOOGL,20,0.1,0.2749326145552561,0.31097560975609756,0.29184549356223183,0.6719681908548708,0.24585818422796554,0.21736249171636846,1.264858,102,269,912,226,1509,runs\20260214_224459__7d7df546\models\finetuned\GOOGL\final.zip,runs\20260214_224459__7d7df546\config.yaml,runs\20260214_224459__7d7df546\metrics.json,runs\20260214_224459__7d7df546\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T22:44:59.064986,2026-02-14T23:07:35.513520,READY
20260214_224459__7d7df546,finetune,TSM,20,0.1,0.2677725118483412,0.2511111111111111,0.2591743119266055,0.5719019218025182,0.27965540092776675,0.2982107355864811,0.89793,113,309,750,337,1509,runs\20260214_224459__7d7df546\models\finetuned\TSM\final.zip,runs\20260214_224459__7d7df546\config.yaml,runs\20260214_224459__7d7df546\metrics.json,runs\20260214_224459__7d7df546\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T22:44:59.064986,2026-02-14T23:07:35.513520,READY
20260214_224459__7d7df546,base,ALL,20,0.1,0.4300423985463356,0.4536741214057508,0.44154228855721395,0.6032692732493925,0.3647006847802076,0.3457035564391429,1.243963,710,941,2021,855,4527,runs\20260214_224459__7d7df546\models\base\final.zip,runs\20260214_224459__7d7df546\config.yaml,runs\20260214_224459__7d7df546\metrics.json,runs\20260214_224459__7d7df546\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T22:44:59.064986,2026-02-14T23:07:35.513520,READY
20260214_230735__74f7db98,finetune,NVDA,20,0.15,0.400390625,0.422680412371134,0.41123370110330987,0.6110006626905236,0.33929754804506296,0.3214049039098741,1.245751,205,307,717,280,1509,runs\20260214_230735__74f7db98\models\finetuned\NVDA\final.zip,runs\20260214_230735__74f7db98\config.yaml,runs\20260214_230735__74f7db98\metrics.json,runs\20260214_230735__74f7db98\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:07:35.530762,2026-02-14T23:30:54.236562,READY
20260214_230735__74f7db98,finetune,GOOGL,20,0.15,0.14166666666666666,0.3119266055045872,0.19484240687679086,0.8137839628893306,0.15904572564612326,0.07223326706428099,1.961239,34,206,1194,75,1509,runs\20260214_230735__74f7db98\models\finetuned\GOOGL\final.zip,runs\20260214_230735__74f7db98\config.yaml,runs\20260214_230735__74f7db98\metrics.json,runs\20260214_230735__74f7db98\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:07:35.530762,2026-02-14T23:30:54.236562,READY
20260214_230735__74f7db98,finetune,TSM,20,0.15,0.15736040609137056,0.3315508021390374,0.2134251290877797,0.6971504307488403,0.26110006626905236,0.12392312789927104,1.269823,62,332,990,125,1509,runs\20260214_230735__74f7db98\models\finetuned\TSM\final.zip,runs\20260214_230735__74f7db98\config.yaml,runs\20260214_230735__74f7db98\metrics.json,runs\20260214_230735__74f7db98\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:07:35.530762,2026-02-14T23:30:54.236562,READY
20260214_230735__74f7db98,base,ALL,20,0.15,0.262652705061082,0.3854033290653009,0.3124026984950701,0.7073116854428981,0.2531477799867462,0.1725204329578087,1.522444,301,845,2901,480,4527,runs\20260214_230735__74f7db98\models\base\final.zip,runs\20260214_230735__74f7db98\config.yaml,runs\20260214_230735__74f7db98\metrics.json,runs\20260214_230735__74f7db98\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:07:35.530762,2026-02-14T23:30:54.236562,READY
20260214_233054__6d8e6a82,finetune,NVDA,40,0.05,0.8772258669165885,0.7238979118329466,0.7932203389830509,0.6766070245195493,0.707090788601723,0.856858846918489,1.023769,936,131,85,357,1509,runs\20260214_233054__6d8e6a82\models\finetuned\NVDA\final.zip,runs\20260214_233054__6d8e6a82\config.yaml,runs\20260214_233054__6d8e6a82\metrics.json,runs\20260214_233054__6d8e6a82\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:30:54.255261,2026-02-14T23:54:24.313006,READY
20260214_233054__6d8e6a82,finetune,GOOGL,40,0.05,0.7413479052823315,0.3551483420593368,0.48023598820058994,0.4161696487740225,0.36381709741550694,0.7594433399602386,0.976173,407,142,221,739,1509,runs\20260214_233054__6d8e6a82\models\finetuned\GOOGL\final.zip,runs\20260214_233054__6d8e6a82\config.yaml,runs\20260214_233054__6d8e6a82\metrics.json,runs\20260214_233054__6d8e6a82\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:30:54.255261,2026-02-14T23:54:24.313006,READY
20260214_233054__6d8e6a82,finetune,TSM,40,0.05,0.6810035842293907,0.3581526861451461,0.4694255713403336,0.43074884029158383,0.3697813121272366,0.7031146454605699,0.968553,380,178,270,681,1509,runs\20260214_233054__6d8e6a82\models\finetuned\TSM\final.zip,runs\20260214_233054__6d8e6a82\config.yaml,runs\20260214_233054__6d8e6a82\metrics.json,runs\20260214_233054__6d8e6a82\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:30:54.255261,2026-02-14T23:54:24.313006,READY
20260214_233054__6d8e6a82,base,ALL,40,0.05,0.7925482980680773,0.49228571428571427,0.6073316884032428,0.5078418378617185,0.48022973271482217,0.7731389441130991,1.025105,1723,451,576,1777,4527,runs\20260214_233054__6d8e6a82\models\base\final.zip,runs\20260214_233054__6d8e6a82\config.yaml,runs\20260214_233054__6d8e6a82\metrics.json,runs\20260214_233054__6d8e6a82\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:30:54.255261,2026-02-14T23:54:24.313006,READY
20260214_235424__7c3a4a7d,finetune,NVDA,40,0.1,0.7435897435897436,0.7196691176470589,0.7314339093881363,0.6189529489728297,0.6978131212723658,0.7210072895957588,1.031321,783,270,151,305,1509,runs\20260214_235424__7c3a4a7d\models\finetuned\NVDA\final.zip,runs\20260214_235424__7c3a4a7d\config.yaml,runs\20260214_235424__7c3a4a7d\metrics.json,runs\20260214_235424__7c3a4a7d\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:54:24.330951,2026-02-15T00:16:39.670377,READY
20260214_235424__7c3a4a7d,finetune,GOOGL,40,0.1,0.45346062052505964,0.2818991097922849,0.34766697163769444,0.5275016567263088,0.2776673293571902,0.44665341285619614,1.01524,190,229,606,484,1509,runs\20260214_235424__7c3a4a7d\models\finetuned\GOOGL\final.zip,runs\20260214_235424__7c3a4a7d\config.yaml,runs\20260214_235424__7c3a4a7d\metrics.json,runs\20260214_235424__7c3a4a7d\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:54:24.330951,2026-02-15T00:16:39.670377,READY
20260214_235424__7c3a4a7d,finetune,TSM,40,0.1,0.4778156996587031,0.37735849056603776,0.42168674698795183,0.49105367793240556,0.388336646785951,0.4917163684559311,0.97173,280,306,461,462,1509,runs\20260214_235424__7c3a4a7d\models\finetuned\TSM\final.zip,runs\20260214_235424__7c3a4a7d\config.yaml,runs\20260214_235424__7c3a4a7d\metrics.json,runs\20260214_235424__7c3a4a7d\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:54:24.330951,2026-02-15T00:16:39.670377,READY
20260214_235424__7c3a4a7d,base,ALL,40,0.1,0.608843537414966,0.5003993610223643,0.5493204734765453,0.5458360945438481,0.4546056991385023,0.5531256903026287,1.100733,1253,805,1218,1251,4527,runs\20260214_235424__7c3a4a7d\models\base\final.zip,runs\20260214_235424__7c3a4a7d\config.yaml,runs\20260214_235424__7c3a4a7d\metrics.json,runs\20260214_235424__7c3a4a7d\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T23:54:24.330951,2026-02-15T00:16:39.670377,READY
20260215_001639__73db18fe,finetune,NVDA,40,0.15,0.6082771896053898,0.7391812865497076,0.6673706441393875,0.5825049701789264,0.6885354539430086,0.5666003976143141,1.073556,632,407,247,223,1509,runs\20260215_001639__73db18fe\models\finetuned\NVDA\final.zip,runs\20260215_001639__73db18fe\config.yaml,runs\20260215_001639__73db18fe\metrics.json,runs\20260215_001639__73db18fe\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-15T00:16:39.687690,2026-02-15T00:32:07.134206,READY
20260215_001639__73db18fe,finetune,GOOGL,40,0.15,0.3263473053892216,0.35855263157894735,0.34169278996865204,0.7216699801192843,0.22133863485752153,0.20145791915175612,1.619928,109,225,980,195,1509,runs\20260215_001639__73db18fe\models\finetuned\GOOGL\final.zip,runs\20260215_001639__73db18fe\config.yaml,runs\20260215_001639__73db18fe\metrics.json,runs\20260215_001639__73db18fe\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-15T00:16:39.687690,2026-02-15T00:32:07.134206,READY
20260215_001639__73db18fe,finetune,TSM,40,0.15,0.3247011952191235,0.34754797441364604,0.3357363542739444,0.5725646123260437,0.3326706428098078,0.3108018555334659,1.044721,163,339,701,306,1509,runs\20260215_001639__73db18fe\models\finetuned\TSM\final.zip,runs\20260215_001639__73db18fe\config.yaml,runs\20260215_001639__73db18fe\metrics.json,runs\20260215_001639__73db18fe\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-15T00:16:39.687690,2026-02-15T00:32:07.134206,READY
20260215_001639__73db18fe,base,ALL,40,0.15,0.48213333333333336,0.5552825552825553,0.5161290322580646,0.6255798542080848,0.414181577203446,0.3596200574331787,1.340674,904,971,1928,724,4527,runs\20260215_001639__73db18fe\models\base\final.zip,runs\20260215_001639__73db18fe\config.yaml,runs\20260215_001639__73db18fe\metrics.json,runs\20260215_001639__73db18fe\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-15T00:16:39.687690,2026-02-15T00:32:07.134206,READY
20260215_101232__f9693061,finetune,TSM,120,0.2,0.6288343558282209,0.5283505154639175,0.5742296918767508,0.5970841616964877,0.4320742213386349,0.5142478462557986,1.222824,410,242,491,366,1509,runs\20260215_101232__f9693061\models\finetuned\TSM\final.zip,runs\20260215_101232__f9693061\config.yaml,runs\20260215_101232__f9693061\metrics.json,runs\20260215_101232__f9693061\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T10:12:32.454639,2026-02-15T10:21:42.058137,READY
20260215_101232__f9693061,base,ALL,120,0.2,0.6288343558282209,0.5283505154639175,0.5742296918767508,0.5970841616964877,0.4320742213386349,0.5142478462557986,1.222824,410,242,491,366,1509,runs\20260215_101232__f9693061\models\base\final.zip,runs\20260215_101232__f9693061\config.yaml,runs\20260215_101232__f9693061\metrics.json,runs\20260215_101232__f9693061\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T10:12:32.454639,2026-02-15T10:21:42.058137,READY
20260215_103729__6f005090,finetune,GOOGL,60,0.1,0.5614886731391586,0.3838495575221239,0.45597897503285156,0.45129224652087474,0.4095427435387674,0.5990722332670643,0.937264,347,271,334,557,1509,runs\20260215_103729__6f005090\models\finetuned\GOOGL\final.zip,runs\20260215_103729__6f005090\config.yaml,runs\20260215_103729__6f005090\metrics.json,runs\20260215_103729__6f005090\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T10:37:29.008682,2026-02-15T10:47:18.750787,READY
20260215_103729__6f005090,base,ALL,60,0.1,0.5614886731391586,0.3838495575221239,0.45597897503285156,0.45129224652087474,0.4095427435387674,0.5990722332670643,0.937264,347,271,334,557,1509,runs\20260215_103729__6f005090\models\base\final.zip,runs\20260215_103729__6f005090\config.yaml,runs\20260215_103729__6f005090\metrics.json,runs\20260215_103729__6f005090\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T10:37:29.008682,2026-02-15T10:47:18.750787,READY
20260215_110550__57ef2968,finetune,GOOGL,120,0.2,0.5505464480874317,0.6106060606060606,0.5790229885057472,0.6116633532140491,0.4850894632206759,0.43737574552683894,1.258749,403,329,520,257,1509,runs\20260215_110550__57ef2968\models\finetuned\GOOGL\final.zip,runs\20260215_110550__57ef2968\config.yaml,runs\20260215_110550__57ef2968\metrics.json,runs\20260215_110550__57ef2968\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T11:05:50.666413,2026-02-15T11:15:32.426940,READY
20260215_110550__57ef2968,base,ALL,120,0.2,0.5505464480874317,0.6106060606060606,0.5790229885057472,0.6116633532140491,0.4850894632206759,0.43737574552683894,1.258749,403,329,520,257,1509,runs\20260215_110550__57ef2968\models\base\final.zip,runs\20260215_110550__57ef2968\config.yaml,runs\20260215_110550__57ef2968\metrics.json,runs\20260215_110550__57ef2968\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T11:05:50.666413,2026-02-15T11:15:32.426940,READY
